iter	Passed	Remaining
0	2	2383
1	4	2283
2	6	2227
3	8	2162
4	10	2120
5	13	2190
6	15	2146
7	16	2099
8	18	2022
9	19	1950
10	21	1946
11	23	1934
12	25	1918
13	27	1912
14	28	1897
15	30	1900
16	32	1893
17	34	1857
18	36	1859
19	37	1859
20	40	1867
21	42	1868
22	43	1836
23	45	1844
24	46	1821
25	47	1793
26	49	1794
27	51	1799
28	53	1797
29	55	1793
30	57	1789
31	58	1771
32	61	1795
33	63	1794
34	64	1789
35	67	1795
36	69	1809
37	71	1806
38	73	1822
39	77	1861
40	81	1899
41	83	1905
42	85	1902
43	87	1901
44	89	1900
45	91	1906
46	93	1903
47	95	1898
48	97	1900
49	100	1900
50	102	1899
51	103	1892
52	105	1890
53	108	1899
54	109	1885
55	111	1885
56	113	1882
57	115	1882
58	117	1879
59	119	1876
60	121	1875
61	124	1876
62	126	1875
63	127	1870
64	130	1872
65	131	1860
66	133	1858
67	135	1855
68	137	1853
69	139	1854
70	141	1849
71	143	1847
72	145	1845
73	147	1842
74	149	1839
75	150	1826
76	152	1825
77	153	1813
78	154	1805
79	156	1797
80	158	1796
81	160	1794
82	162	1790
83	163	1787
84	165	1783
85	167	1779
86	169	1778
87	172	1783
88	173	1780
89	175	1777
90	177	1775
91	179	1774
92	181	1771
93	183	1768
94	185	1766
95	188	1770
96	189	1767
97	191	1766
98	193	1760
99	195	1758
100	197	1756
101	199	1754
102	201	1751
103	203	1753
104	205	1752
105	207	1748
106	208	1743
107	210	1741
108	212	1739
109	214	1735
110	216	1732
111	219	1742
112	222	1743
113	224	1742
114	226	1744
115	228	1744
116	231	1747
117	233	1747
118	236	1747
119	237	1745
120	239	1743
121	241	1740
122	243	1737
123	245	1734
124	247	1733
125	249	1731
126	252	1732
127	253	1730
128	256	1729
129	258	1729
130	260	1726
131	262	1723
132	263	1720
133	266	1720
134	268	1719
135	270	1719
136	272	1718
137	274	1715
138	276	1713
139	278	1710
140	280	1708
141	282	1707
142	285	1708
143	287	1707
144	289	1705
145	291	1702
146	292	1699
147	294	1697
148	296	1696
149	299	1696
150	301	1694
151	303	1692
152	305	1690
153	307	1688
154	309	1687
155	311	1687
156	314	1687
157	316	1687
158	318	1686
159	321	1685
160	322	1683
161	324	1680
162	326	1677
163	328	1675
164	330	1673
165	332	1673
166	335	1671
167	337	1669
168	339	1667
169	341	1665
170	342	1662
171	344	1659
172	347	1659
173	349	1659
174	351	1658
175	354	1658
176	355	1654
177	357	1652
178	359	1649
179	361	1648
180	364	1648
181	366	1646
182	368	1645
183	370	1643
184	372	1640
185	374	1637
186	376	1635
187	378	1633
188	380	1632
189	382	1630
190	384	1628
191	386	1625
192	388	1623
193	390	1620
194	391	1618
195	394	1616
196	396	1616
197	398	1614
198	400	1613
199	402	1611
200	404	1608
201	406	1606
202	408	1604
203	411	1604
204	413	1602
205	415	1603
206	418	1604
207	421	1603
208	423	1604
209	426	1603
210	427	1600
211	430	1598
212	432	1597
213	434	1594
214	436	1592
215	437	1589
216	440	1588
217	442	1588
218	444	1586
219	446	1583
220	448	1581
221	450	1578
222	451	1573
223	453	1571
224	455	1569
225	458	1568
226	459	1566
227	461	1564
228	463	1561
229	465	1559
230	467	1557
231	469	1554
232	471	1552
233	473	1551
234	476	1549
235	478	1548
